GroundSpeed (kts),Altitude (feet),Heading (deg),Latitude (deg),Longitude (deg)
109,947,31,-27.41654136,153.1618247
109,947,31,-27.41636432,153.1619469
109,946,31,-27.41618395,153.1620711
109,944,31,-27.41601109,153.1621899
109,944,31,-27.41584128,153.1623063
109,939,31,-27.41566907,153.1624241
109,927,31,-27.41548696,153.1625484
109,917,31,-27.41532274,153.1626602
109,906,31,-27.41514213,153.1627829
109,897,31,-27.41496305,153.1629042
109,894,31,-27.41479669,153.1630166
109,890,31,-27.41461664,153.1631379
109,888,31,-27.41443897,153.1632574
109,891,31,-27.41426364,153.163375
109,896,31,-27.41409065,153.1634909
108,893,31,-27.41391043,153.1636115
108,898,31,-27.41373741,153.1637271
108,905,31,-27.41356519,153.163842
108,910,30,-27.41339178,153.1639576
108,913,30,-27.41321921,153.1640724
108,918,30,-27.41303174,153.164197
108,924,30,-27.41285969,153.1643112
108,929,30,-27.41269675,153.1644192
108,930,30,-27.41251719,153.164538
108,930,30,-27.4123424,153.1646535
108,933,30,-27.41216268,153.164772
108,937,30,-27.41198301,153.1648903
108,940,30,-27.41180334,153.1650083
108,942,30,-27.41164754,153.1651105
108,942,30,-27.41145824,153.1652344
108,944,30,-27.41129278,153.1653424
108,945,30,-27.41111536,153.1654581
107,942,30,-27.41093556,153.165575
107,943,30,-27.41076025,153.1656888
107,943,30,-27.41058809,153.1658003
107,944,30,-27.41041764,153.1659104
107,945,30,-27.41024393,153.1660224
107,945,30,-27.41006208,153.1661393
107,941,30,-27.40988907,153.1662503
107,941,29,-27.40971232,153.1663634
107,941,29,-27.40953549,153.1664762
107,942,29,-27.40934874,153.166595
107,942,29,-27.40917916,153.1667026
107,943,29,-27.40901849,153.1668044
107,943,29,-27.40883108,153.1669232
107,943,29,-27.40865837,153.1670328
107,943,29,-27.40848305,153.1671441
107,943,29,-27.40831728,153.1672494
107,944,29,-27.40813082,153.1673678
107,944,29,-27.40796057,153.167476
107,944,29,-27.40778127,153.1675899
107,944,29,-27.40761378,153.1676963
106,945,29,-27.4074417,153.1678056
106,945,29,-27.40726417,153.1679183
106,945,29,-27.40708288,153.1680333
106,946,29,-27.40690461,153.1681464
106,947,29,-27.40674194,153.1682496
106,947,29,-27.40656132,153.168364
106,947,29,-27.40639679,153.1684682
106,948,29,-27.40621125,153.1685855
106,948,29,-27.40604209,153.1686924
106,947,29,-27.40587068,153.1688006
106,946,29,-27.40568273,153.1689191
106,946,29,-27.40551859,153.1690225
106,945,29,-27.40534683,153.1691305
106,945,29,-27.40517855,153.1692361
106,945,29,-27.40500498,153.1693449
106,945,29,-27.40482654,153.1694566
106,942,29,-27.40465547,153.1695635
105,942,29,-27.40446991,153.1696792
105,942,29,-27.40431311,153.1697768
105,942,29,-27.40413459,153.1698878
105,942,29,-27.4039635,153.1699941
105,941,29,-27.40379952,153.1700958
105,940,29,-27.40360709,153.1702153
105,939,29,-27.40344563,153.1703156
105,938,29,-27.4032604,153.1704308
105,938,29,-27.40308974,153.170537
105,937,29,-27.402925,153.1706396
105,934,29,-27.40275505,153.1707454
105,937,29,-27.40256752,153.1708622
105,940,29,-27.40239706,153.1709683
105,940,29,-27.40223586,153.1710687
105,942,29,-27.40204127,153.1711898
105,943,29,-27.40188702,153.1712858
105,941,29,-27.40171397,153.1713934
105,942,29,-27.4015363,153.1715039
105,942,29,-27.4013583,153.1716145
105,942,29,-27.4011868,153.1717209
105,942,29,-27.40101195,153.1718294
105,942,29,-27.40083378,153.1719398
105,942,29,-27.40068432,153.1720323
105,938,29,-27.40049067,153.1721523
105,938,29,-27.40032127,153.1722573
105,938,29,-27.40014832,153.1723645
105,938,29,-27.3999778,153.1724704
105,938,29,-27.3997993,153.1725812
105,938,29,-27.39962471,153.1726897
105,938,29,-27.39945438,153.1727955
105,938,29,-27.39928414,153.1729013
105,938,29,-27.39913511,153.1729939
105,938,29,-27.39894163,153.1731141
105,938,29,-27.39877142,153.1732198
105,935,29,-27.39860134,153.1733254
105,935,29,-27.39841556,153.1734406
105,935,29,-27.39826111,153.1735363
105,935,29,-27.39809099,153.1736417
